Date,Mkt-RF,SMB,HML
20170519,0.007,-0.0037,0.004
20170522,0.0056,0.0029,-0.003
20170523,0.0018,-0.001,0.0064
20170524,0.0024,-0.0012,-0.0046
20170525,0.0042,-0.0027,-0.0074
20170526,0.0006,-0.0004,0.001
20170530,-0.0019,-0.0049,-0.0035
20170531,-0.0002,0.0004,-0.0053
20170601,0.0095,0.01,0.0004
20170602,0.0035,0.0058,-0.0076
20170605,-0.0017,-0.0046,-0.0003
20170606,-0.0028,0.0009,-0.0002
20170607,0.0015,-0.0017,-0.0003
20170608,0.0018,0.0114,0.0093
20170609,-0.0012,0.0004,0.0242
20170612,-0.0011,-0.0025,0.0033
20170613,0.0055,0.0008,-0.0013
20170614,-0.0017,-0.0047,-0.0052
20170615,-0.003,-0.0024,-0.0011
20170616,-0.0003,-0.0023,-0.0015
20170619,0.0086,0.0012,-0.0075
20170620,-0.0073,-0.004,-0.005
20170621,-0.0007,-0.0004,-0.0168
20170622,0.0002,0.0052,-0.0041
20170623,0.0024,0.0083,-0.0048
20170626,0.0004,-0.0003,0.007
20170627,-0.0085,-0.0039,0.0134
20170628,0.0102,0.0074,0.0022
20170629,-0.0083,-0.0013,0.0137
20170630,0.0014,-0.0009,-0.0029
20170703,0.0024,0.0036,0.0121
20170705,0.0012,-0.0068,-0.0058
20170706,-0.0095,-0.005,0.0012
20170707,0.007,0.0042,-0.0041
20170710,0.0005,-0.0045,-0.0007
20170711,0,0.0036,-0.0055
20170712,0.0072,0.0013,-0.0052
20170713,0.0017,-0.0008,0.0039
20170714,0.0042,-0.0013,-0.0052
20170717,0,0.0021,0.001
20170718,0.0004,-0.0029,-0.003
20170719,0.0059,0.0052,0.0003
20170720,-0.0001,0.0005,-0.0005
20170721,-0.0008,-0.0041,-0.0024
20170724,-0.0003,0.001,-0.0018
20170725,0.0038,0.0036,0.0096
20170726,-0.0006,-0.0035,-0.0076
20170727,-0.0014,-0.0064,0.0044
20170728,-0.0017,-0.0003,0.0027
20170731,-0.0011,-0.0035,0.0046
20170801,0.0024,-0.0019,0.0014
20170802,-0.0008,-0.0117,0.0015
20170803,-0.0021,-0.0034,-0.0033
20170804,0.0025,0.0032,0.0039
